Tourism and Hospitality,Tourism Distribution by Category (2022),%
parent,child,value
Root,Destination Types,44.79
Destination Types,Nature Tourism,12.9
Nature Tourism,Coastal Areas,7.01
Nature Tourism,Mountain Destinations,5.89
Destination Types,Urban Tourism,31.89
Urban Tourism,Shopping Districts,18.11
Shopping Districts,Souvenir Streets,6.32
Shopping Districts,Night Markets,5.75
Shopping Districts,Luxury Malls,6.03
Urban Tourism,City Landmarks,13.78
City Landmarks,Museums,7.54
City Landmarks,Architectural Tours,6.24
Root,Hospitality Services,32.51
Hospitality Services,Dining Experiences,12.0
Dining Experiences,Local Cuisine,12.0
Hospitality Services,Lodging Options,20.51
Root,Travel Services,22.7
Travel Services,Transportation,22.7
