Retail and E-commerce,E-commerce Distribution by Category (2024),%
parent,child,value
Root,Marketplace Platforms,27.79
Marketplace Platforms,C2C Marketplaces,10.49
C2C Marketplaces,Handmade Goods,5.48
C2C Marketplaces,Used Goods,5.01
Marketplace Platforms,B2C Platforms,17.3
B2C Platforms,Electronics Retailers,9.02
B2C Platforms,Fashion Retailers,8.28
Root,Customer Engagement,34.74
Customer Engagement,Customer Service,26.17
Customer Service,Live Support,26.17
Live Support,Video Assistance,5.86
Live Support,Phone Help,12.07
Live Support,In-app Messaging,8.24
Customer Engagement,Marketing Strategies,8.57
Root,Payment & Logistics,37.47
Payment & Logistics,Fulfillment & Delivery,37.47
