Social Media and Digital Media and Streaming,Social Media Distribution by Category (2022),%
parent,child,value
Root,Platforms,44.44
Platforms,Social Networks,18.43
Social Networks,Instagram,5.02
Social Networks,Facebook,13.41
Platforms,Messaging Apps,26.01
Messaging Apps,WhatsApp,8.32
Messaging Apps,Telegram,17.69
Telegram,Public Channels,12.1
Telegram,Bots,5.59
Root,User Engagement,32.02
User Engagement,Reactions and Comments,18.23
Reactions and Comments,Likes,18.23
Likes,Hearts,5.09
Likes,Emojis,13.14
User Engagement,Sharing and Virality,13.79
Root,Content Creation,23.54
Content Creation,Video Platforms,23.54
