Human Resources and Employee Management ,Employee Distribution by Category (2021),%
parent,child,value
Root,Employee Development,40.58
Employee Development,Training Programs,26.72
Training Programs,Online Learning,12.0
Training Programs,Skill Workshops,14.72
Employee Development,Performance Management,13.86
Performance Management,Goal Setting,5.03
Performance Management,Feedback,8.83
Root,Employee Lifecycle,31.72
Employee Lifecycle,Onboarding,13.0
Onboarding,Orientation,13.0
Employee Lifecycle,Recruitment,18.72
Root,Workplace Wellbeing,27.7
Workplace Wellbeing,Work-Life Balance,27.7
