Education and Academics,Education Distribution by Category (2024),%
parent,child,value
Root,Informal Learning,48.9
Informal Learning,Online Education,43.06
Online Education,MOOCs,9.56
Online Education,Skill Platforms,33.5
Skill Platforms,Skillshare,13.11
Skill Platforms,LinkedIn Learning,14.18
Skill Platforms,Udemy,6.21
Informal Learning,Community Learning,5.84
Root,Formal Education,21.66
Formal Education,Secondary Education,7.28
Formal Education,Primary Education,14.38
Primary Education,Public Primary,6.74
Primary Education,Private Primary,7.64
Root,Higher Education,29.45
Higher Education,Undergraduate,29.45
Undergraduate,Research Universities,29.45
Research Universities,Medical Schools,22.61
Research Universities,Engineering Schools,6.84
