Transportation and Logistics,Transportation Distribution by Category (2021),%
parent,child,value
Root,Urban Mobility,56.06
Urban Mobility,Micromobility,34.45
Micromobility,E-Scooters,24.26
E-Scooters,Rental Platforms,6.16
E-Scooters,Parking Zones,11.24
E-Scooters,Safety Standards,6.86
Micromobility,Bike Sharing,10.19
Bike Sharing,Electric Bicycles,5.02
Bike Sharing,Station-Based Bikes,5.17
Urban Mobility,Public Transit,21.61
Public Transit,Bus Systems,14.82
Public Transit,Subway Networks,6.79
Root,Freight and Logistics,21.31
Freight and Logistics,Road Freight,6.6
Road Freight,Trucking Fleets,6.6
Freight and Logistics,Rail Freight,14.71
Root,Air Transport,22.64
Air Transport,Commercial Airlines,22.64
