Energy and Utilities,Energy Distribution by Category (2020),%
parent,child,value
Root,Energy Infrastructure,21.71
Energy Infrastructure,Transmission,16.6
Transmission,High Voltage Lines,10.26
High Voltage Lines,AC Lines,5.02
High Voltage Lines,DC Lines,5.24
Transmission,Smart Grids,6.34
Energy Infrastructure,Generation,5.11
Root,Energy Sources,24.38
Energy Sources,Renewables,18.64
Renewables,Wind,8.74
Renewables,Solar,9.9
Energy Sources,Fossil Fuels,5.74
Fossil Fuels,Coal,5.74
Root,Energy Consumption,53.91
Energy Consumption,Industrial,53.91
