Real Estate and Housing Market,Housing Market Distribution by Category (2023),%
parent,child,value
Root,Commercial Real Estate,33.48
Commercial Real Estate,Retail Spaces,12.89
Retail Spaces,Shopping Centers,5.74
Retail Spaces,Street-Level Shops,7.15
Commercial Real Estate,Office Buildings,20.59
Office Buildings,Downtown Offices,6.3
Office Buildings,Suburban Offices,14.29
Root,Residential Property,26.64
Residential Property,Multi-Family Homes,7.14
Multi-Family Homes,Apartments,7.14
Residential Property,Single Family Homes,19.5
Root,Rental Market,39.88
Rental Market,Long-Term Rentals,39.88
