Education and Academics,Education Distribution by Category (2024),%
parent,child,value
Root,Formal Education,27.94
Formal Education,Secondary Education,8.33
Formal Education,Primary Education,19.61
Primary Education,Public Primary,8.05
Primary Education,Private Primary,11.56
Root,Informal Learning,36.47
Informal Learning,Community Learning,12.33
Community Learning,Non-Profit Programs,5.92
Community Learning,Public Libraries,6.41
Informal Learning,Online Education,24.14
Online Education,Skill Platforms,24.14
Skill Platforms,Udemy,8.58
Skill Platforms,Skillshare,7.41
Skill Platforms,LinkedIn Learning,8.15
Root,Higher Education,35.59
Higher Education,Undergraduate,35.59
