Science and Engineering,Science Distribution by Category (2021),%
parent,child,value
Root,Applied Sciences,21.64
Applied Sciences,Computer Science,10.24
Computer Science,Algorithms,5.04
Computer Science,Artificial Intelligence,5.2
Applied Sciences,Engineering,11.4
Engineering,Mechanical,5.59
Engineering,Electrical,5.81
Root,Physical Sciences,48.36
Physical Sciences,Chemistry,39.14
Chemistry,Inorganic Chemistry,39.14
Inorganic Chemistry,Crystal Structures,13.23
Inorganic Chemistry,Transition Metals,13.73
Inorganic Chemistry,Acid-Base Theory,12.18
Physical Sciences,Physics,9.22
Root,Life Sciences,30.0
Life Sciences,Biology,30.0
