Human Resources and Employee Management ,Employee Distribution by Category (2021),%
parent,child,value
Root,Employee Development,28.53
Employee Development,Performance Management,16.77
Performance Management,Goal Setting,5.96
Performance Management,Feedback,10.81
Employee Development,Training Programs,11.76
Training Programs,Skill Workshops,6.38
Training Programs,Online Learning,5.38
Root,Employee Lifecycle,39.93
Employee Lifecycle,Onboarding,26.16
Onboarding,Mentorship,26.16
Mentorship,Buddy System,6.33
Mentorship,Shadowing Programs,5.67
Mentorship,Learning Modules,14.16
Employee Lifecycle,Recruitment,13.77
Root,Workplace Wellbeing,31.54
Workplace Wellbeing,Health & Safety,31.54
