Transportation and Logistics,Transportation Distribution by Category (2021),%
parent,child,value
Root,Air Transport,21.89
Air Transport,Commercial Airlines,5.26
Air Transport,Air Cargo,16.63
Air Cargo,Logistics Platforms,11.36
Air Cargo,Cargo Airlines,5.27
Root,Urban Mobility,31.67
Urban Mobility,Micromobility,22.36
Micromobility,E-Scooters,16.3
E-Scooters,Safety Standards,5.79
E-Scooters,Parking Zones,5.05
E-Scooters,Rental Platforms,5.45
Micromobility,Bike Sharing,6.06
Urban Mobility,Public Transit,9.31
Public Transit,Subway Networks,9.31
Root,Freight and Logistics,46.44
Freight and Logistics,Road Freight,46.44
