Food and Beverage Industry,Food Industry Distribution by Category (2023),%
parent,child,value
Root,Food Production,30.19
Food Production,Aquaculture,19.21
Aquaculture,Freshwater Farming,11.24
Freshwater Farming,Tilapia,6.2
Freshwater Farming,Catfish,5.04
Aquaculture,Marine Farming,7.97
Food Production,Agriculture,10.98
Agriculture,Livestock,5.75
Agriculture,Crop Farming,5.23
Root,Food Processing,49.18
Food Processing,Meat Processing,23.81
Meat Processing,Slaughtering,23.81
Slaughtering,Beef,13.67
Slaughtering,Pork,10.14
Food Processing,Dairy Processing,25.37
Root,Food Distribution,20.63
Food Distribution,Wholesale,20.63
