Real Estate and Housing Market,Housing Market Distribution by Category (2023),%
parent,child,value
Root,Rental Market,22.51
Rental Market,Short-Term Rentals,8.07
Rental Market,Long-Term Rentals,14.44
Long-Term Rentals,Apartments,8.46
Long-Term Rentals,Houses for Rent,5.98
Root,Commercial Real Estate,30.24
Commercial Real Estate,Retail Spaces,19.8
Retail Spaces,Street-Level Shops,11.05
Retail Spaces,Shopping Centers,8.75
Commercial Real Estate,Office Buildings,10.44
Office Buildings,Downtown Offices,10.44
Root,Residential Property,47.26
Residential Property,Single Family Homes,47.26
