Human Resources and Employee Management ,Employee Distribution by Category (2021),%
parent,child,value
Root,Employee Lifecycle,37.03
Employee Lifecycle,Recruitment,12.09
Recruitment,Job Posting,7.0
Recruitment,Candidate Evaluation,5.09
Employee Lifecycle,Onboarding,24.94
Onboarding,Mentorship,17.2
Mentorship,Learning Modules,5.56
Mentorship,Shadowing Programs,5.13
Mentorship,Buddy System,6.51
Onboarding,Orientation,7.74
Root,Workplace Wellbeing,41.7
Workplace Wellbeing,Work-Life Balance,10.71
Work-Life Balance,Flexible Scheduling,10.71
Flexible Scheduling,Hybrid Options,5.02
Flexible Scheduling,Compressed Weeks,5.69
Workplace Wellbeing,Health & Safety,30.99
Root,Employee Development,21.28
Employee Development,Training Programs,21.28
