Energy and Utilities,Energy Distribution by Category (2020),%
parent,child,value
Root,Energy Consumption,53.19
Energy Consumption,Residential,22.14
Residential,Appliances,13.25
Appliances,Washing Machines,5.57
Appliances,Refrigerators,7.68
Residential,Heating,8.89
Energy Consumption,Industrial,31.05
Industrial,Mining,7.7
Industrial,Manufacturing,23.35
Manufacturing,Cement Kilns,9.5
Manufacturing,Steel Production,13.85
Root,Energy Infrastructure,21.5
Energy Infrastructure,Generation,9.08
Generation,Thermal Plants,9.08
Thermal Plants,Gas Turbines,9.08
Energy Infrastructure,Transmission,12.42
Root,Energy Sources,25.31
Energy Sources,Fossil Fuels,25.31
