Transportation and Logistics,Transportation Distribution by Category (2021),%
parent,child,value
Root,Air Transport,39.13
Air Transport,Air Cargo,27.84
Air Cargo,Logistics Platforms,11.48
Air Cargo,Cargo Airlines,16.36
Cargo Airlines,Parcel Freight,5.82
Cargo Airlines,Hazardous Materials,5.05
Cargo Airlines,Perishable Goods,5.49
Air Transport,Commercial Airlines,11.29
Commercial Airlines,Passenger Flights,5.37
Commercial Airlines,Airport Infrastructure,5.92
Root,Urban Mobility,35.69
Urban Mobility,Micromobility,5.07
Micromobility,Bike Sharing,5.07
Urban Mobility,Public Transit,30.62
Root,Freight and Logistics,25.18
Freight and Logistics,Rail Freight,25.18
