Cultural Trends and Influences,Cultural Engagement Distribution by Category (2024),%
parent,child,value
Root,Digital Culture,29.91
Digital Culture,Online Exhibitions,11.72
Online Exhibitions,Virtual Museums,6.27
Online Exhibitions,NFT Artworks,5.45
Digital Culture,Streaming Culture,18.19
Streaming Culture,Cultural Podcasts,8.19
Streaming Culture,Live Performances,10.0
Root,Creative Expression,38.46
Creative Expression,Visual Arts,5.96
Visual Arts,Painting,5.96
Creative Expression,Performing Arts,32.5
Root,Cultural Participation,31.63
Cultural Participation,Art Festivals,31.63
