Retail and E-commerce,E-commerce Distribution by Category (2024),%
parent,child,value
Root,Marketplace Platforms,30.81
Marketplace Platforms,C2C Marketplaces,18.74
C2C Marketplaces,Used Goods,5.42
C2C Marketplaces,Handmade Goods,13.32
Marketplace Platforms,B2C Platforms,12.07
B2C Platforms,Fashion Retailers,5.84
B2C Platforms,Electronics Retailers,6.23
Root,Payment & Logistics,45.04
Payment & Logistics,Digital Payment Systems,14.43
Digital Payment Systems,E-Wallets,14.43
Payment & Logistics,Fulfillment & Delivery,30.61
Root,Customer Engagement,24.15
Customer Engagement,Marketing Strategies,24.15
