Science and Engineering,Science Distribution by Category (2021),%
parent,child,value
Root,Physical Sciences,35.61
Physical Sciences,Physics,21.65
Physics,Mechanics,15.28
Mechanics,Kinematics,5.23
Mechanics,Oscillations,5.04
Mechanics,Dynamics,5.0
Physics,Quantum Physics,6.37
Physical Sciences,Chemistry,13.96
Chemistry,Inorganic Chemistry,6.75
Chemistry,Organic Chemistry,7.21
Root,Life Sciences,22.41
Life Sciences,Biology,6.16
Biology,Genetics,6.16
Life Sciences,Neuroscience,16.25
Root,Applied Sciences,41.98
Applied Sciences,Engineering,41.98
