Real Estate and Housing Market,Housing Market Distribution by Category (2023),%
parent,child,value
Root,Rental Market,38.44
Rental Market,Long-Term Rentals,31.42
Long-Term Rentals,Apartments,9.72
Long-Term Rentals,Houses for Rent,21.7
Houses for Rent,Townhomes,8.15
Houses for Rent,Gated Communities,7.21
Houses for Rent,Detached Rentals,6.34
Rental Market,Short-Term Rentals,7.02
Root,Residential Property,40.5
Residential Property,Single Family Homes,15.69
Single Family Homes,Detached,9.1
Single Family Homes,Semi-Detached,6.59
Residential Property,Multi-Family Homes,24.81
Multi-Family Homes,Duplex,24.81
Duplex,Owner-Occupied,8.82
Duplex,Basement Units,15.99
Root,Commercial Real Estate,21.06
Commercial Real Estate,Office Buildings,21.06
