Real Estate and Housing Market,Housing Market Distribution by Category (2023),%
parent,child,value
Root,Rental Market,27.85
Rental Market,Long-Term Rentals,10.0
Long-Term Rentals,Houses for Rent,5.0
Long-Term Rentals,Apartments,5.0
Rental Market,Short-Term Rentals,17.85
Short-Term Rentals,Platforms,8.08
Short-Term Rentals,Vacation Homes,9.77
Root,Commercial Real Estate,21.69
Commercial Real Estate,Office Buildings,5.39
Office Buildings,Downtown Offices,5.39
Commercial Real Estate,Retail Spaces,16.3
Root,Residential Property,50.45
Residential Property,Single Family Homes,50.45
