Business and Finance,Business Distribution by Category (2021),%
parent,child,value
Root,Digital Transformation,38.36
Digital Transformation,Data Strategy,15.3
Data Strategy,Business Intelligence,8.67
Data Strategy,Data Governance,6.63
Digital Transformation,Technology Adoption,23.06
Technology Adoption,AI Integration,13.77
Technology Adoption,Cloud Computing,9.29
Root,Financial Management,25.13
Financial Management,Budgeting & Planning,11.09
Budgeting & Planning,Operational Forecasting,11.09
Financial Management,Investment Strategy,14.04
Root,Corporate Strategy,36.51
Corporate Strategy,Innovation Strategy,36.51
