Sports and Entertainment,Sports Distribution by Category (2024),%
parent,child,value
Root,Fitness and Wellness,27.8
Fitness and Wellness,Outdoor Activities,5.42
Fitness and Wellness,Personal Training,22.38
Personal Training,Yoga and Meditation,9.86
Personal Training,Gym Workouts,12.52
Root,Sports Media and Tech,42.44
Sports Media and Tech,Live Broadcasting,30.77
Live Broadcasting,Online Streaming,17.61
Online Streaming,Twitch Coverage,5.76
Online Streaming,OTT Platforms,5.37
Online Streaming,YouTube Sports,6.49
Live Broadcasting,Television Coverage,13.16
Television Coverage,National Leagues,5.51
Television Coverage,Olympic Coverage,7.65
Sports Media and Tech,Sports Technology,11.67
Sports Technology,Analytics Tools,11.67
Root,Competitive Sports,29.76
Competitive Sports,Team Sports,29.76
