Cultural Trends and Influences,Cultural Engagement Distribution by Category (2024),%
parent,child,value
Root,Cultural Participation,36.97
Cultural Participation,Art Festivals,20.87
Art Festivals,Local Festivals,11.24
Art Festivals,International Events,9.63
Cultural Participation,Heritage Engagement,16.1
Heritage Engagement,Site Tours,9.21
Heritage Engagement,Museum Visits,6.89
Root,Digital Culture,23.18
Digital Culture,Online Exhibitions,5.42
Online Exhibitions,Virtual Museums,5.42
Digital Culture,Streaming Culture,17.76
Root,Creative Expression,39.85
Creative Expression,Visual Arts,39.85
