Cultural Trends and Influences,Cultural Engagement Distribution by Category (2024),%
parent,child,value
Root,Digital Culture,34.86
Digital Culture,Online Exhibitions,26.29
Online Exhibitions,NFT Artworks,20.65
NFT Artworks,Token Galleries,6.95
NFT Artworks,AR Installations,5.56
NFT Artworks,CryptoArt,8.15
Online Exhibitions,Virtual Museums,5.64
Digital Culture,Streaming Culture,8.57
Root,Cultural Participation,42.2
Cultural Participation,Heritage Engagement,22.6
Heritage Engagement,Site Tours,7.18
Heritage Engagement,Museum Visits,15.42
Museum Visits,Art Museums,5.83
Museum Visits,Science Centers,9.59
Cultural Participation,Art Festivals,19.6
Art Festivals,Local Festivals,19.6
Root,Creative Expression,22.94
Creative Expression,Visual Arts,22.94
