Cultural Trends and Influences,Cultural Engagement Distribution by Category (2024),%
parent,child,value
Root,Cultural Participation,37.79
Cultural Participation,Art Festivals,26.02
Art Festivals,International Events,10.72
Art Festivals,Local Festivals,15.3
Local Festivals,Street Performances,5.0
Local Festivals,Community Parades,5.21
Local Festivals,Open-air Exhibitions,5.09
Cultural Participation,Heritage Engagement,11.77
Heritage Engagement,Museum Visits,5.4
Heritage Engagement,Site Tours,6.37
Root,Creative Expression,37.62
Creative Expression,Performing Arts,28.95
Performing Arts,Theatre,28.95
Theatre,Drama,11.75
Theatre,Experimental Theatre,17.2
Creative Expression,Visual Arts,8.67
Root,Digital Culture,24.59
Digital Culture,Online Exhibitions,24.59
