Healthcare and Health,Healthcare Distribution by Category (2022),%
parent,child,value
Root,Health Technologies,23.53
Health Technologies,Medical Devices,8.77
Health Technologies,Health Informatics,14.76
Health Informatics,Decision Support,6.9
Health Informatics,Electronic Records,7.86
Root,Medical Services,20.53
Medical Services,Primary Care,8.03
Medical Services,Specialized Care,12.5
Specialized Care,Oncology,6.95
Specialized Care,Cardiology,5.55
Root,Public Health Systems,55.93
Public Health Systems,Health Surveillance,55.93
Health Surveillance,Outbreak Monitoring,55.93
Outbreak Monitoring,Environmental Sensors,12.44
Outbreak Monitoring,Real-time Alerts,14.44
Outbreak Monitoring,Zoonotic Surveillance,29.04
