Human Resources and Employee Management ,Employee Distribution by Category (2021),%
parent,child,value
Root,Employee Lifecycle,29.74
Employee Lifecycle,Recruitment,9.99
Employee Lifecycle,Onboarding,19.75
Onboarding,Orientation,6.03
Onboarding,Mentorship,13.72
Root,Employee Development,36.29
Employee Development,Performance Management,27.03
Performance Management,Goal Setting,5.54
Performance Management,Feedback,21.49
Feedback,360 Review,6.63
Feedback,Peer Review,7.68
Feedback,Manager Review,7.18
Employee Development,Training Programs,9.26
Training Programs,Skill Workshops,9.26
Root,Workplace Wellbeing,33.97
Workplace Wellbeing,Work-Life Balance,33.97
