Human Resources and Employee Management ,Employee Distribution by Category (2021),%
parent,child,value
Root,Employee Lifecycle,21.91
Employee Lifecycle,Onboarding,9.66
Employee Lifecycle,Recruitment,12.25
Recruitment,Candidate Evaluation,5.29
Recruitment,Job Posting,6.96
Root,Workplace Wellbeing,43.21
Workplace Wellbeing,Health & Safety,10.99
Health & Safety,Emergency Response,5.79
Health & Safety,Ergonomics,5.2
Workplace Wellbeing,Work-Life Balance,32.22
Work-Life Balance,Flexible Scheduling,32.22
Flexible Scheduling,Hybrid Options,10.69
Flexible Scheduling,Remote Work,9.42
Flexible Scheduling,Compressed Weeks,12.11
Root,Employee Development,34.88
Employee Development,Training Programs,34.88
