Agriculture and Food Production,Agriculture Production Distribution by Category (2024),%
parent,child,value
Root,Agricultural Inputs,27.87
Agricultural Inputs,Seeds,5.85
Agricultural Inputs,Fertilizers,22.02
Fertilizers,Organic,5.86
Fertilizers,Nitrogen,16.16
Nitrogen,Ammonium Nitrate,5.63
Nitrogen,Urea,10.53
Root,Crop Production,20.82
Crop Production,Oilseeds,14.09
Oilseeds,Canola,7.38
Oilseeds,Soybean,6.71
Crop Production,Grains,6.73
Grains,Rice,6.73
Root,Livestock,51.32
Livestock,Cattle,51.32
