Education and Academics,Education Distribution by Category (2024),%
parent,child,value
Root,Higher Education,31.85
Higher Education,Undergraduate,24.66
Undergraduate,Liberal Arts Colleges,6.85
Undergraduate,Research Universities,17.81
Research Universities,Engineering Schools,6.1
Research Universities,Business Schools,5.99
Research Universities,Medical Schools,5.72
Higher Education,Postgraduate,7.19
Root,Informal Learning,39.18
Informal Learning,Online Education,21.77
Online Education,Skill Platforms,16.51
Skill Platforms,Skillshare,10.79
Skill Platforms,Udemy,5.72
Online Education,MOOCs,5.26
Informal Learning,Community Learning,17.41
Community Learning,Non-Profit Programs,17.41
Root,Formal Education,28.97
Formal Education,Primary Education,28.97
