Retail and E-commerce,E-commerce Distribution by Category (2024),%
parent,child,value
Root,Payment & Logistics,22.22
Payment & Logistics,Digital Payment Systems,5.8
Payment & Logistics,Fulfillment & Delivery,16.42
Fulfillment & Delivery,Last-mile Delivery,5.18
Fulfillment & Delivery,Warehousing,11.24
Root,Customer Engagement,39.05
Customer Engagement,Customer Service,24.93
Customer Service,Live Support,8.13
Customer Service,Chatbots,16.8
Chatbots,Multilingual Support,5.46
Chatbots,AI Agents,5.5
Chatbots,FAQ Automation,5.83
Customer Engagement,Marketing Strategies,14.12
Marketing Strategies,Social Media Ads,14.12
Social Media Ads,Short Videos,8.74
Social Media Ads,Influencer Marketing,5.38
Root,Marketplace Platforms,38.73
Marketplace Platforms,C2C Marketplaces,38.73
