Social Media and Digital Media and Streaming,Social Media Distribution by Category (2022),%
parent,child,value
Root,Content Creation,30.77
Content Creation,Video Platforms,23.17
Video Platforms,TikTok,7.02
Video Platforms,YouTube,16.15
YouTube,Shorts,5.53
YouTube,Live Streams,5.54
YouTube,Playlists,5.08
Content Creation,Podcasting,7.6
Root,User Engagement,45.79
User Engagement,Reactions and Comments,6.84
User Engagement,Sharing and Virality,38.95
Sharing and Virality,Reposts,24.85
Reposts,Stories Share,9.0
Reposts,Link Shares,15.85
Sharing and Virality,Memes,14.1
Root,Platforms,23.44
Platforms,Social Networks,23.44
Social Networks,Instagram,23.44
