Science and Engineering,Science Distribution by Category (2021),%
parent,child,value
Root,Applied Sciences,28.88
Applied Sciences,Computer Science,5.66
Applied Sciences,Engineering,23.22
Engineering,Electrical,15.36
Electrical,Signal Processing,5.17
Electrical,Circuits,5.03
Electrical,Power Systems,5.16
Engineering,Mechanical,7.86
Root,Life Sciences,22.4
Life Sciences,Neuroscience,12.95
Neuroscience,Neural Networks,6.35
Neuroscience,Brain Function,6.6
Life Sciences,Biology,9.45
Biology,Ecology,9.45
Root,Physical Sciences,48.72
Physical Sciences,Physics,48.72
