Education and Academics,Education Distribution by Category (2024),%
parent,child,value
Root,Formal Education,46.19
Formal Education,Secondary Education,40.68
Secondary Education,Vocational Schools,15.41
Vocational Schools,Apprenticeship Programs,5.35
Vocational Schools,Career Prep Courses,5.03
Vocational Schools,Technical Training,5.03
Secondary Education,High Schools,25.27
High Schools,STEM Tracks,9.91
High Schools,Arts Focus,15.36
Formal Education,Primary Education,5.51
Root,Informal Learning,24.27
Informal Learning,Online Education,12.55
Online Education,MOOCs,5.68
Online Education,Skill Platforms,6.87
Informal Learning,Community Learning,11.72
Community Learning,Non-Profit Programs,11.72
Root,Higher Education,29.54
Higher Education,Undergraduate,29.54
