Human Resources and Employee Management ,Employee Distribution by Category (2021),%
parent,child,value
Root,Workplace Wellbeing,20.43
Workplace Wellbeing,Work-Life Balance,8.13
Workplace Wellbeing,Health & Safety,12.3
Health & Safety,Emergency Response,7.28
Health & Safety,Ergonomics,5.02
Root,Employee Development,23.92
Employee Development,Training Programs,10.43
Training Programs,Online Learning,5.42
Training Programs,Skill Workshops,5.01
Employee Development,Performance Management,13.49
Performance Management,Feedback,13.49
Root,Employee Lifecycle,55.65
Employee Lifecycle,Recruitment,55.65
