Cultural Trends and Influences,Theater Attendance,tickets
trend,volatile_falling,exponential_rising
Year,Aethelgard Thespians,Stellar Performance Troupe
1950,203300.48,481080.07
1951,191009.32,529978.37
1952,179249.26,588360.02
1953,168008.36,642710.61
1954,153204.8,703663.51
1955,142841.55,781660.54
1956,129230.46,855622.62
1957,118363.3,937559.54
1958,106673.37,1030860.72
1959,90828.88,1140755.34
1960,79653.59,1248209.81
1961,67999.14,1374646.22
1962,56141.99,1513209.66
1963,42432.69,1668526.98
1964,32024.51,1837617.29
1965,18246.5,2025803.04
1966,9000.9,2220899.02
1967,2033.97,2437214.77
1968,2033.97,2685987.08
1969,2033.97,2954875.47
1970,2033.97,3248384.2
