Agriculture and Food Production,Water Usage,cubic meters
trend,single_peak,volatile_falling,single_valley,bimodal_valley
Year,Starfall Organics,Whispering Willows Estate,Riverbend Plantation,Ironwood Ranch
1986,3187687.87,2708604.92,1336026.8,192746.92
1987,3379379.07,2550045.8,1121178.64,18720.02
1988,3544827.0,2384450.07,907525.63,18720.02
1989,3701829.77,2223718.84,742985.45,18720.02
1990,3812307.86,2097517.72,643999.16,18720.02
1991,3827793.45,1895716.04,606493.11,18720.02
1992,3801604.78,1720320.39,656326.78,18720.02
1993,3733769.08,1576438.85,750729.47,18720.02
1994,3587457.02,1415981.52,916988.81,18720.02
1995,3384589.99,1243279.53,1110320.21,18720.02
1996,3211996.86,1079064.6,1335440.96,180237.37
