Cultural Trends and Influences,Theater Attendance,tickets
trend,stable_rising
Year,Azure Curtain Players
1974,506391.61
1975,533650.31
1976,554043.42
1977,567580.45
1978,613670.56
1979,621150.7
1980,650499.89
1981,667704.61
1982,702940.78
1983,724279.92
1984,752598.15
1985,769306.04
1986,796144.47
1987,814608.63
1988,849876.18
1989,867772.24
1990,902371.48
1991,936072.35
1992,951215.3
1993,971396.65
1994,998579.23
1995,1026915.11
1996,1054408.11
1997,1068065.47
1998,1097483.87
1999,1135088.28
2000,1138839.74
2001,1189646.89
2002,1203808.82
