Cultural Trends and Influences,Art Gallery Visitors,visitors
trend,bimodal_valley,volatile_rising,bimodal_peak,periodic_stable,exponential_falling,single_peak,single_peak
Year,Meridian Art Collective,The Gilded Frame,Zenith Sculpture Garden,Aura Fine Arts,Stellar Exhibit Hall,Ironwood Gallery,Whispering Canvas
1975,167269.02,404139.39,627856.4,284110.84,213721.43,467292.63,473483.99
1976,129607.91,438103.51,667442.88,346163.68,193769.86,489233.29,503722.66
1977,107760.39,471200.08,709644.69,318731.81,172855.76,522690.38,533197.21
1978,82090.17,503924.29,747121.07,240308.76,154919.29,552570.66,570849.76
1979,58485.53,539013.87,781114.0,219240.06,142051.18,571465.9,599728.55
1980,49878.31,569082.95,791061.02,279806.62,129277.38,609379.43,635624.34
1981,40069.78,595762.6,792590.28,350416.8,116631.75,641730.6,664047.6
1982,36111.17,629286.39,812647.01,327902.85,102146.14,657348.95,702218.5
1983,24577.59,664150.36,818127.12,237166.02,96782.0,675512.95,720703.38
1984,21242.72,695169.09,808567.07,218410.4,82829.07,672348.83,724595.34
1985,24429.48,722100.96,815404.6,283055.18,73387.09,675850.13,718409.98
1986,28349.39,758500.49,809239.42,350409.51,67704.67,669044.94,696583.71
1987,29700.56,793457.94,801396.7,322842.87,56920.21,631953.63,670958.33
1988,31258.08,827970.68,801117.97,234351.71,56497.23,611358.03,639269.18
1989,37718.93,855908.66,800174.39,213050.48,51379.27,574344.55,602801.29
1990,48197.47,892758.94,781555.17,279479.6,43991.31,543527.21,566015.91
1991,73110.9,923046.62,766707.78,348737.88,45925.63,520923.29,531883.43
1992,77093.83,960967.25,738938.52,324368.44,35318.49,484923.72,492763.47
1993,107531.42,984649.66,694923.36,236975.04,37247.28,458393.1,470968.35
1994,137490.78,1018774.85,663141.99,215962.57,28589.66,450989.87,454574.22
