Science and Engineering,Research Grants Awarded,$
trend,volatile_rising,stable_rising,single_valley
Year,Nova Institute,Starburst College,Aether University
2004,1102134.79,2326135.35,2503388.17
2005,1193029.59,2392219.05,2336762.57
2006,1244388.24,2526906.56,2112475.81
2007,1341993.64,2640987.06,1877364.66
2008,1435857.16,2736040.02,1616889.97
2009,1521416.42,2905695.78,1358772.86
2010,1587004.01,3028788.74,1127082.16
2011,1702144.33,3102687.36,895932.59
2012,1749693.83,3197476.97,748094.86
2013,1843900.62,3339364.02,816431.01
2014,1968452.42,3501755.31,754404.31
2015,2048582.73,3567775.86,892457.31
2016,2130290.17,3708331.8,1062638.46
2017,2240416.97,3817245.38,1385030.77
2018,2290322.15,3897007.96,1619912.53
2019,2382731.75,4054386.48,1852968.98
2020,2475285.85,4152999.42,2134144.93
2021,2556674.83,4264317.2,2353927.01
2022,2636168.73,4395079.71,2525075.46
2023,2725311.53,4524486.7,2666398.11
