Retail and E-commerce,In-Store Foot Traffic,visitors/day
trend,bimodal_peak,single_valley,volatile_falling,volatile_falling
Year,Home Essentials,Fashion Boutiques,Outlet Centers,Neighborhood Stores
1975,32940.18,16774.55,14332.54,11342.35
1976,35320.2,14640.64,13752.7,10730.12
1977,37754.9,12991.47,12756.91,9998.34
1978,39289.45,9696.03,11837.11,9399.68
1979,40649.95,9629.51,11123.03,8576.08
1980,41465.53,7184.78,10208.86,7990.97
1981,42797.31,5531.85,9039.69,7428.99
1982,43588.98,5998.3,8695.32,6694.17
1983,43150.88,5169.32,7765.0,6140.09
1984,43781.43,5159.94,6485.44,5670.99
1985,43183.37,9371.24,6082.15,4604.63
1986,42321.83,11398.41,5006.98,3839.67
1987,40853.05,13590.57,4139.88,3293.11
1988,39694.39,14617.1,3382.12,2542.62
1989,36869.49,16414.06,2548.23,1664.34
1990,35292.87,17389.09,1065.7,1024.67
