Food and Beverage Industry,Food Safety Index,index
trend,volatile_rising,stable_rising,volatile_rising
Year,Stellar Bistro,Emerald Diner,The Golden Spoon
2001,77.05,108.43,121.05
2002,82.72,113.84,130.84
2003,89.43,119.26,140.67
2004,95.26,124.92,150.38
2005,101.45,130.23,159.56
2006,107.26,135.63,169.82
2007,113.46,141.29,178.48
2008,119.95,146.27,187.93
2009,126.19,151.99,197.78
2010,132.52,157.12,207.71
2011,138.28,162.73,218.21
2012,144.29,168.44,227.22
2013,150.72,173.84,236.95
2014,156.53,179.03,246.68
2015,163.29,184.68,255.9
2016,169.01,190.01,266.19
2017,175.51,195.35,275.73
2018,181.58,200.52,285.36
2019,187.84,206.28,294.8
2020,193.69,211.81,304.36
2021,199.71,217.42,314.61
