Education and Academics,Research Funding,$
trend,stable_rising,stable_falling,volatile_falling,single_valley,stable_falling,bimodal_valley,single_peak
Year,Borealis Graduate School,Meridian Academy,Celestial College,Aethelgard School of Arts,Zenith Institute of Technology,Silverhaven Polytechnic,Arcane University
1955,619794.47,743792.64,547202.15,585465.14,516011.75,471830.19,347515.81
1956,647993.05,762267.61,469091.37,583292.41,523400.56,400565.11,355669.64
1957,679693.96,792436.91,472737.53,543738.11,541894.85,333672.09,368884.37
1958,710536.84,801091.38,425464.78,528941.92,559987.27,278165.66,390141.93
1959,742895.14,826191.74,423062.07,470506.18,571946.39,210367.32,405094.38
1960,778832.5,858661.36,369917.65,420711.33,589207.72,174137.74,438580.7
1961,804012.66,874892.74,353866.15,365775.87,612789.58,161019.09,468209.24
1962,845276.66,895300.31,304712.43,323574.71,626260.58,151703.63,490693.83
1963,865270.86,908888.67,269302.11,271732.54,645560.98,151158.92,530463.75
1964,894011.98,940909.3,246848.81,227834.14,650112.3,165240.03,551717.62
1965,927259.08,968773.39,213641.86,199237.66,669945.35,193538.48,552797.73
1966,961441.64,985230.89,166721.21,183336.51,677206.74,193431.84,565620.89
1967,984296.45,1013642.9,158897.47,200024.97,705938.41,204061.44,553638.93
1968,1026629.48,1027087.03,119779.23,233111.43,717639.38,192567.01,546239.25
1969,1051044.6,1055312.54,90569.85,265312.61,727611.13,191527.07,523610.84
1970,1084353.2,1063043.98,47097.9,319699.49,751270.45,167864.44,501157.97
1971,1117000.13,1096614.85,14353.07,370861.89,771870.41,152457.84,471202.86
1972,1135478.95,1130896.39,5366.75,421098.03,780322.06,141522.66,446578.3
1973,1172637.43,1143399.33,5366.75,472039.94,798323.72,156365.15,421155.09
1974,1196848.44,1152577.05,5366.75,517943.84,816360.43,176837.44,387108.22
1975,1241537.8,1178353.92,5366.75,550039.64,822984.75,218856.68,370668.41
1976,1267568.42,1202388.46,5366.75,579956.86,842719.98,273039.68,356930.95
1977,1294240.47,1233649.03,5366.75,610914.03,861264.61,345950.47,340614.14
1978,1328312.98,1248969.3,5366.75,620482.18,870670.02,405743.0,337248.09
