Sports and Entertainment,Streaming Views,views/month
trend,single_valley,stable_falling,single_peak,single_peak,exponential_falling
Year,StarburstTV,EchoWave Entertainment,Luminara Play,CrimsonCast,NovaStream Live
2002,170691.53,197028.11,310214.75,147388.58,248149.36
2003,151840.32,201662.97,353130.12,158954.63,217329.95
2004,138883.01,209121.01,355760.74,167720.73,195475.43
2005,118547.83,222017.5,382546.96,177228.08,189971.58
2006,96821.85,224814.1,408684.73,189647.85,161812.71
2007,76584.78,232720.12,425187.01,194990.68,137358.28
2008,68195.04,236291.86,436483.13,212856.77,133366.29
2009,60932.5,243949.19,458152.56,214163.68,119382.78
2010,50906.49,241657.57,450369.24,214974.46,100660.27
2011,54807.52,251803.99,463699.25,214076.91,85492.89
2012,66539.43,257169.06,445305.87,202372.44,84319.06
2013,82936.11,255416.8,439483.69,199360.44,76151.7
2014,98844.3,266991.67,407927.14,190117.92,81531.31
2015,117767.65,273939.74,385231.61,178875.23,64001.08
2016,128804.19,273540.14,349866.71,166400.76,52653.11
2017,150681.28,287247.12,336407.46,153242.3,44134.74
2018,174655.69,298691.33,313150.44,149550.56,49498.14
