Science and Engineering,Patent Applications,applications
trend,periodic_stable,stable_rising,volatile_falling,single_valley
Year,Luminara Solutions,Echo Dynamics,Nova Industries,Crimson Group
1985,2713.76,2592.09,4980.38,3121.24
1986,3351.44,2697.18,4649.82,2969.0
1987,3100.27,2789.79,4286.84,2907.59
1988,2302.64,3011.51,4114.67,2722.56
1989,2063.42,3084.14,3742.72,2583.78
1990,2681.02,3187.84,3446.4,2262.83
1991,3380.17,3355.05,3112.49,2043.5
1992,3123.9,3469.0,2813.08,1740.5
1993,2311.22,3579.2,2529.74,1489.64
1994,2076.6,3671.87,2300.66,1191.02
1995,2656.43,3854.79,1988.2,1029.71
1996,3380.37,4011.03,1775.07,891.04
1997,3087.72,4133.65,1330.76,782.93
1998,2289.72,4254.15,1135.0,926.63
1999,2061.3,4330.06,820.14,1022.97
2000,2664.69,4499.44,452.91,1195.66
2001,3359.57,4632.08,241.76,1456.71
2002,3137.65,4766.53,49.04,1723.87
2003,2292.5,4882.88,49.04,2027.13
2004,2044.28,5009.46,49.04,2335.91
2005,2668.01,5142.9,49.04,2564.42
2006,3364.31,5318.87,49.04,2759.97
2007,3106.65,5338.26,49.04,2913.69
2008,2293.22,5555.53,49.04,3049.16
2009,2036.93,5644.12,49.04,3102.41
2010,2679.47,5775.21,49.04,3173.27
