Tourism and Hospitality,Restaurant Reservations,reservations/week
trend,stable_falling,exponential_falling,single_peak,exponential_falling
Year,Vegan Cafes,Fusion Kitchens,Street Food Hubs,Casual Eateries
1958,752.78,852.29,1172.29,857.11
1959,738.06,770.63,1153.78,796.46
1960,808.97,673.77,1181.89,694.55
1961,811.74,608.39,1266.8,638.67
1962,854.07,564.94,1244.77,582.74
1963,869.66,467.74,1334.77,524.55
1964,898.95,430.98,1407.02,492.97
1965,907.82,378.61,1531.0,448.38
1966,951.99,363.05,1617.41,420.63
1967,943.38,317.88,1698.58,371.94
1968,975.59,277.34,1804.37,344.25
1969,976.4,255.83,1881.33,322.21
1970,1009.84,225.88,1922.86,295.13
1971,1041.51,192.84,1909.97,272.54
1972,1048.63,203.89,1925.37,246.88
1973,1070.85,166.91,1822.84,239.48
1974,1113.48,144.67,1790.22,226.67
1975,1129.27,146.48,1713.27,207.43
1976,1157.56,107.68,1619.82,193.73
1977,1187.34,126.05,1468.28,163.46
1978,1182.83,108.37,1441.95,164.5
1979,1224.74,107.33,1315.15,168.34
1980,1221.7,99.61,1268.83,137.92
1981,1249.79,78.93,1186.17,134.88
1982,1305.99,61.76,1201.06,141.53
1983,1304.58,85.09,1184.55,128.33
1984,1344.56,42.54,1102.78,132.23
1985,1377.16,79.32,1105.36,119.22
