Agriculture and Food Production,Agricultural Exports,$
trend,exponential_falling,exponential_falling,periodic_stable,bimodal_peak,volatile_falling,single_peak,single_valley
Year,Meridian Trade Hub,Zenith Logistics,Port of Silverhaven,Borealis Shipping Co.,Stellar Commodities Group,Port of Aethelgard,Azure Port Authority
1986,12550434.64,11233652.31,9834261.25,18114331.07,6629620.08,8872864.93,11756290.91
1987,11229375.46,10122132.07,12177028.4,19630918.55,5954807.57,9284157.3,11553787.31
1988,10099164.11,9042582.99,11217966.52,20942352.95,5869321.07,9508929.8,10859693.73
1989,9131351.91,8090228.68,8443684.6,21999282.1,5640257.28,9937528.56,10325975.37
1990,8130491.48,7485622.27,7510102.62,22989463.59,5043321.65,10572324.11,9935114.0
1991,7435348.48,6660650.71,9842421.66,23706020.0,4707684.34,11187993.94,9202568.78
1992,6665106.91,5954492.28,12351676.17,24176818.89,4382854.69,11918381.07,8202182.36
1993,5975675.03,5384775.11,11304318.73,24247632.26,3864450.09,12709250.08,7140486.48
1994,5386000.17,4757003.91,8473773.1,24145429.06,3467856.85,13399894.9,6091000.72
1995,4911286.51,4389358.22,7629486.81,23865080.05,3052876.9,14145559.64,5300509.27
1996,4406524.88,3923597.46,9777018.28,23580705.73,2754515.82,14801838.29,4638777.62
1997,3927538.42,3577216.99,12250394.84,23309763.08,2350590.7,15131300.62,4342506.63
1998,3645213.57,3264194.24,11390201.81,23239378.17,1769895.04,15298019.55,4047443.13
1999,3211177.55,2742895.95,8370387.6,23298580.98,1460382.07,14976743.36,4109348.6
2000,2798424.33,2609092.72,7420748.77,23508671.44,936040.06,14739497.97,4503568.39
2001,2593364.4,2448357.64,9828314.39,23820100.11,713431.03,14234379.2,5053726.43
2002,2259314.79,2112539.37,12244421.02,24210422.44,219400.05,13674087.46,6195733.82
2003,2054920.56,1980758.52,11256370.66,24389937.19,66139.24,12727963.56,7222301.26
2004,1819891.96,1619167.55,8350644.78,23976397.73,66139.24,11847161.39,8185984.86
2005,1610839.66,1708996.74,7614291.34,23736140.25,66139.24,11132270.37,8763257.09
2006,1501089.41,1471691.79,9848796.33,22962131.81,66139.24,10482884.15,9770176.11
2007,1321978.51,1200892.78,12269351.62,21940490.55,66139.24,10096264.27,10372579.15
2008,1209331.38,1194980.44,11302875.77,20819812.78,66139.24,9464889.36,10802385.08
2009,1052341.15,1030145.8,8460544.67,19476055.12,66139.24,9279080.61,11305419.39
2010,1052237.06,744414.4,7622484.86,18500007.86,66139.24,8937698.25,11358868.05
