Energy and Utilities,Waste Recycled,tons
trend,volatile_falling,single_valley,stable_falling
Year,Aethelgard City Waste Services,Borealis Township Cleanup,Silverhaven District Recycling
1993,51240.67,34461.99,31669.47
1994,48533.5,34468.74,32636.61
1995,44747.29,34207.02,33430.74
1996,42133.83,32388.91,34182.3
1997,38996.55,31697.84,35077.58
1998,35928.95,29832.71,36221.27
1999,32288.16,27450.07,36975.79
2000,30281.83,25144.79,37764.33
2001,26601.86,22528.16,39018.14
2002,23586.96,19877.3,39892.24
2003,20528.18,15426.62,40256.72
2004,17354.85,13086.04,41237.39
2005,14022.99,9838.02,42773.72
2006,11373.01,9226.49,43778.4
2007,8278.96,9036.99,43729.49
2008,5459.98,9370.26,44457.37
2009,2435.93,10256.68,45543.09
2010,513.0,13288.79,46725.27
2011,513.0,15651.01,48061.83
2012,513.0,18875.23,48844.63
2013,513.0,22393.99,49717.7
2014,513.0,25544.74,50102.93
2015,513.0,28129.09,51879.43
2016,513.0,29846.68,52628.3
2017,513.0,31358.33,53241.21
2018,513.0,32251.46,54272.59
2019,513.0,33426.41,54507.71
2020,513.0,34408.6,55765.57
2021,513.0,34975.34,56722.59
2022,513.0,33787.9,57331.4
