Retail and E-commerce,Inventory Turnover,times/year
trend,stable_rising,periodic_stable
Year,QuickDeliver Hubs,Metro Storage
1994,6.43,6.61
1995,6.78,8.49
1996,7.07,7.79
1997,7.5,5.83
1998,7.76,5.3
1999,8.08,6.85
2000,8.33,8.31
2001,8.7,7.72
2002,9.02,5.76
2003,9.4,4.98
2004,9.71,6.9
2005,10.04,8.26
2006,10.25,7.72
2007,10.52,5.77
2008,11.06,5.11
2009,11.39,6.92
2010,11.63,8.24
2011,11.96,7.54
2012,12.27,5.72
2013,12.67,5.25
2014,12.85,6.73
2015,13.31,8.38
2016,13.6,7.7
2017,13.85,5.85
2018,14.29,5.1
2019,14.58,6.65
2020,14.91,8.27
2021,15.2,7.66
2022,15.39,5.54
2023,15.76,5.13
