Agriculture and Food Production,Livestock Production,tons
trend,stable_rising,volatile_falling,exponential_falling,bimodal_peak,exponential_falling,single_peak,bimodal_peak
Year,Whispering Willows Estate,Golden Harvest Cooperative,Misty Meadow Acres,Sunstone Farms,Riverbend Plantation,Ironwood Ranch,Starfall Organics
1970,54429.82,69471.98,64528.3,85380.49,41418.41,26294.47,61202.03
1971,58198.44,65078.63,57674.57,91384.72,37293.16,26865.26,65439.43
1972,60434.3,60903.21,51857.86,97080.37,33409.05,27407.06,69638.84
1973,63342.71,56463.35,46716.81,101574.26,29981.49,29600.47,72793.39
1974,65767.34,52704.16,42175.17,105983.35,27680.62,30341.06,76160.07
1975,68556.54,49305.45,38092.02,108769.45,24807.48,32510.21,78299.4
1976,71753.37,45039.29,34134.64,110611.86,22134.6,34421.11,79642.63
1977,74328.85,39955.86,31010.82,110325.29,19663.47,36810.37,79182.48
1978,76498.43,35748.15,27861.47,109890.89,18011.73,38969.63,78577.13
1979,79697.42,32244.79,25061.1,107687.41,15998.81,41142.67,77079.08
1980,82553.22,27745.73,22193.45,105435.68,14511.28,42658.18,75697.54
1981,85179.45,23472.79,20107.6,103207.34,12952.64,43816.29,74000.38
1982,87624.09,18800.59,18225.28,102676.96,12096.8,44082.41,73299.4
1983,90539.66,14529.97,16583.62,102870.57,10728.26,43712.11,73968.33
1984,93037.36,10649.36,14651.3,103319.81,9568.43,42771.8,74879.15
1985,95985.34,7301.58,13061.48,105437.9,8724.73,41357.77,75945.12
1986,98744.9,3659.76,11490.49,106943.65,7025.78,38713.44,77329.19
1987,101237.93,693.2,10841.3,108543.67,7308.6,36873.31,78465.08
1988,103885.13,693.2,9681.05,110200.43,6486.6,34665.23,79971.12
1989,106877.29,693.2,8554.76,110081.3,5734.42,32710.43,79320.44
1990,109480.02,693.2,7924.45,109073.42,5133.09,30715.88,78491.8
1991,112086.63,693.2,6822.96,105814.51,4574.91,29121.28,76125.56
1992,115183.92,693.2,6181.52,101586.43,3931.76,27952.08,73747.97
1993,117884.75,693.2,5971.65,96112.41,3741.41,27009.77,69240.63
1994,120965.6,693.2,5319.43,90211.07,3029.2,26380.29,65045.79
1995,122830.06,693.2,4606.72,85744.5,2580.95,26227.56,61199.83
