Sports and Entertainment,Social Media Followers,followers
trend,single_valley,bimodal_peak,single_valley,volatile_falling
Year,@StarburstTV,@CrimsonCometsOfficial,@NovaGamesLive,@AetherNetSports
1960,4646273.88,12063787.9,5506561.59,14158247.65
1961,3942279.87,12991802.77,4739533.46,13682333.35
1962,3201348.71,13086422.79,3524190.9,12627558.68
1963,3781293.06,13414931.2,4046020.5,11628826.06
1964,3842263.14,13712201.73,3844215.65,10638212.15
1965,4327428.87,13882226.48,5067199.0,10776374.23
1966,5065532.75,13360107.08,5469892.33,9802999.76
1967,6319119.0,12573866.95,7321980.99,8744138.93
