Transportation and Logistics,Fuel Consumption,L/100km
trend,volatile_falling,single_valley,single_peak,single_valley,bimodal_peak,volatile_falling
Year,Cargo Planes,Freight Trains,Long-Haul Trucks,Cargo Ships,Drone Swarms,Hybrid Fleets
1959,5.3,5.8,10.98,9.67,17.89,11.6
1960,5.11,5.67,11.0,9.05,19.14,10.72
1961,4.84,5.3,11.89,8.61,19.95,10.34
1962,4.49,4.76,12.51,7.81,20.64,9.89
1963,4.2,4.35,13.31,6.91,21.53,8.78
1964,3.78,3.74,14.29,5.93,21.95,7.99
1965,3.65,3.43,15.11,4.93,22.73,7.57
1966,3.31,2.87,15.73,3.92,22.35,6.8
1967,2.68,2.34,16.53,3.21,22.38,5.89
1968,2.6,2.14,17.14,2.98,21.99,5.15
1969,2.22,2.02,17.3,2.62,22.09,4.65
1970,1.83,2.14,16.93,2.94,22.45,4.01
1971,1.6,2.41,16.6,3.15,21.96,3.38
1972,1.36,2.8,15.83,3.94,22.6,2.49
1973,0.83,3.32,15.23,4.93,22.64,1.96
1974,0.67,3.81,14.17,6.06,22.27,1.13
1975,0.2,4.44,13.36,6.57,22.03,0.84
1976,0.05,4.77,12.51,7.47,21.8,0.12
1977,0.05,5.31,12.02,8.42,21.21,0.12
1978,0.05,5.65,11.24,9.15,19.77,0.12
1979,0.05,5.94,10.94,9.64,18.64,0.12
1980,0.05,6.14,10.8,9.9,17.67,0.12
