Business and Finance,Revenue Growth,$
trend,volatile_falling,single_peak,stable_falling
Year,Vanguard Dynamics,NovaTech Solutions,Starlight Innovations
1995,8247491.69,17223482.66,9153434.22
1996,7762173.04,18223382.76,9190091.01
1997,7477217.07,19238184.86,9595122.47
1998,6916887.48,20599128.58,9507407.25
1999,6251550.43,21771635.93,9838718.19
2000,5931219.54,23131623.04,10130986.24
2001,5510873.57,23848360.49,10611010.53
2002,4798942.19,24452813.62,10854054.58
2003,4538328.19,24679955.63,11275211.19
2004,3790245.0,24488290.47,11487589.94
2005,3444832.95,24001806.69,11763084.28
2006,2885840.71,23138938.78,11721447.63
2007,2462086.83,22086516.58,12064470.27
2008,1899749.2,20764425.48,12455415.4
2009,1371098.43,19253154.33,12766750.19
2010,783053.75,18246928.74,12926490.21
2011,371668.28,16887657.48,13162980.34
2012,83891.77,16331440.3,13563803.42
