Real Estate and Housing Market,Price Index,index
trend,exponential_rising,volatile_rising,stable_rising,volatile_rising
Year,Nova Exchange,Crimson Bazaar,Echo Trade,Aether Market
1957,164.26,119.9,142.06,198.04
1958,180.7,129.61,148.17,210.88
1959,197.76,140.23,155.74,224.64
1960,219.8,150.41,161.29,237.5
1961,242.18,158.33,169.35,250.91
1962,265.14,170.21,176.11,266.0
1963,291.55,180.33,181.58,280.07
1964,321.88,187.82,190.1,292.02
1965,354.69,197.98,197.56,305.96
1966,387.37,206.94,202.2,318.76
1967,427.14,216.41,211.1,332.3
1968,469.94,226.09,218.28,344.09
1969,519.67,235.44,223.35,357.5
1970,571.06,246.29,231.67,372.66
1971,625.22,254.61,239.45,385.11
1972,690.27,264.49,245.75,399.02
1973,757.37,274.9,253.42,413.16
1974,833.77,285.44,260.8,426.3
1975,915.15,294.53,268.34,438.76
1976,1010.54,302.99,272.99,455.96
1977,1109.52,311.74,279.94,467.5
