Cultural Trends and Influences,Museum Visitors,visits/month
trend,stable_rising,volatile_rising,volatile_rising,volatile_falling
Year,Museum of Stellar Artifice,Echoes of Ages Collection,Aethelgard Historical Archive,The Verdant Hall
1994,1409582.05,764761.49,634593.49,514914.82
1995,1472086.02,825900.77,673337.63,479090.81
1996,1591774.28,891489.78,731150.71,447321.19
1997,1630802.71,944827.59,770098.84,418591.49
1998,1731575.12,996049.57,818124.91,388863.68
1999,1763002.93,1061789.97,881774.81,357156.81
2000,1843303.14,1121830.53,925862.8,324214.72
2001,1900404.89,1171243.98,967186.4,295623.81
2002,1990483.82,1237320.11,1028636.06,269006.7
2003,2059463.1,1295970.13,1075521.8,235589.6
2004,2130021.53,1361179.92,1138367.03,201261.63
2005,2195755.02,1419516.2,1175653.21,176410.87
2006,2270669.87,1490126.12,1237689.79,146700.92
2007,2330328.47,1543654.54,1283836.45,115552.0
2008,2428222.31,1601875.63,1332630.27,79538.2
2009,2461940.34,1673427.69,1384901.0,48978.45
2010,2536294.12,1730119.51,1416997.69,25204.65
2011,2601248.37,1788538.57,1474219.19,5111.98
