Healthcare and Health,Vaccination Rate,%
trend,bimodal_valley,volatile_rising,exponential_rising,bimodal_valley,stable_rising,volatile_falling,volatile_falling
Year,Outer Rim Settlements,District Alpha,Verdant Ward,Crimson Quarter,Azure Enclave,Stellar City Core,Sector Beta
1977,52.53,46.94,63.76,58.18,79.64,84.27,100
1978,44.83,50.71,70.66,50.81,83.64,78.57,96.14
1979,37.48,54.45,77.54,43.67,87.47,73.24,89.89
1980,30.76,58.48,85.01,36.86,90.94,67.79,83.63
1981,25.14,61.86,93.81,31.17,95.31,63.86,77.7
1982,21.5,65.74,100,27.02,98.52,58.56,71.83
1983,19.64,69.48,100,24.72,100,53.84,65.45
1984,19.65,73.31,100,25.36,100,48.99,58.41
1985,21.68,77.17,100,27.72,100,43.9,53.24
1986,25.37,80.9,100,30.91,100,38.47,47.06
1987,29.08,84.55,100,35.03,100,33.59,40.47
1988,32.72,88.48,100,38.86,100,28.53,34.8
1989,34.87,92.42,100,40.95,100,23.23,28.37
1990,36.15,95.8,100,41.59,100,18.49,22.24
1991,34.88,99.56,100,40.86,100,13.43,16.37
1992,32.46,100,100,38.72,100,8.35,9.82
1993,28.9,100,100,34.76,100,3.28,4.14
1994,25.11,100,100,31.14,100,0.84,1.02
1995,21.98,100,100,27.29,100,0.84,1.02
1996,19.46,100,100,25.44,100,0.84,1.02
1997,19.26,100,100,24.96,100,0.84,1.02
1998,21.1,100,100,26.7,100,0.84,1.02
1999,24.78,100,100,30.72,100,0.84,1.02
2000,30.43,100,100,36.33,100,0.84,1.02
2001,37.49,100,100,43.23,100,0.84,1.02
2002,44.91,100,100,50.68,100,0.84,1.02
2003,51.91,100,100,58.34,100,0.84,1.02
