Real Estate and Housing Market,Construction Starts,units/year
trend,stable_falling,volatile_falling
Year,Silverwood Forest,Golden Delta
1984,473.92,546.56
1985,492.56,513.19
1986,512.69,481.59
1987,527.35,443.88
1988,536.31,419.18
1989,545.18,380.52
1990,561.71,346.29
1991,582.08,316.56
1992,592.93,279.51
1993,611.48,254.85
1994,623.06,218.83
1995,636.17,184.13
1996,654.56,153.57
1997,669.93,120.73
1998,686.53,86.49
1999,699.98,55.89
2000,711.73,24.69
2001,720.92,5.45
2002,742.12,5.45
2003,752.12,5.45
2004,771.25,5.45
2005,778.25,5.45
