Business and Finance,Debt to Equity Ratio,ratio
trend,single_peak,volatile_rising,bimodal_valley,bimodal_peak
Year,Aegis Corp,Vanguard Dynamics,Starlight Innovations,Horizon Enterprises
2011,0.76,0.32,0.12,0.83
2012,0.81,0.35,0.08,0.88
2013,0.87,0.38,0.03,0.93
2014,0.9,0.4,0.0,0.97
2015,0.94,0.43,0.0,1.0
2016,0.97,0.45,0.0,1.02
2017,0.97,0.48,0.0,1.03
2018,0.97,0.5,0.0,1.03
2019,0.94,0.53,0.0,1.02
2020,0.91,0.56,0.0,1.0
2021,0.86,0.58,0.0,0.97
2022,0.81,0.61,0.02,0.93
2023,0.77,0.63,0.07,0.88
2024,0.71,0.66,0.13,0.83
