Education and Academics,Alumni Giving Rate,%
trend,bimodal_valley,volatile_rising,exponential_rising
Year,Silverhaven Polytechnic Fund,Zenith Tech Foundation,Aethelgard Arts Circle
1994,3.67,8.22,14.0
1995,3.08,8.98,15.47
1996,2.53,9.58,17.0
1997,2.16,10.27,18.73
1998,1.71,10.89,20.69
1999,1.45,11.62,22.75
2000,1.37,12.16,24.98
2001,1.38,12.89,27.47
2002,1.51,13.49,30.22
2003,1.8,14.25,33.21
2004,2.07,14.94,36.46
2005,2.22,15.57,40.15
2006,2.41,16.19,44.2
2007,2.45,16.86,48.55
2008,2.46,17.48,53.46
2009,2.3,18.2,58.67
2010,2.05,18.79,64.69
2011,1.74,19.54,71.13
2012,1.52,20.15,78.19
2013,1.38,20.81,86.17
2014,1.33,21.4,94.67
2015,1.49,22.15,100
2016,1.83,22.8,100
2017,2.13,23.45,100
2018,2.56,24.11,100
2019,3.19,24.77,100
2020,3.62,25.49,100
