Education and Academics,Library Visits,visits/year
trend,volatile_rising,bimodal_peak,exponential_rising
Year,Arcane University Library,Aethelgard Art Library,Silverhaven Digital Repository
2011,94324.78,242106.63,80379.58
2012,101347.3,257579.57,88874.63
2013,109753.69,270980.74,96880.85
2014,116497.39,280160.81,106340.8
2015,124020.88,284637.35,117415.83
2016,131266.12,287171.9,129663.38
2017,137258.51,285238.72,142948.28
2018,146755.12,279221.82,156304.41
2019,155061.93,268545.28,172272.74
2020,161789.13,256750.7,189700.75
2021,168626.31,242734.13,208088.97
