Energy and Utilities,Renewable Energy Production,MWh
trend,single_peak,exponential_rising,stable_falling,volatile_falling
Year,Stellar Wind Array,Verdant Biomass Facility,GeoThermal Bloom Plant,Azure Tide Energy
1955,71404270.75,147870788.77,91150622.62,145441591.12
1956,75577821.59,160948753.36,91258003.52,136017715.95
1957,80228595.99,172850416.61,96243123.37,126401319.26
1958,85586093.5,192218681.35,98555282.69,119173413.14
1959,90092974.12,213841072.28,100297752.88,109017553.6
1960,96848517.81,236483967.51,103424648.08,101900670.04
1961,101774452.51,264447128.45,107719965.76,93013779.82
1962,106862190.11,283886347.2,110001341.3,81754011.85
1963,108991196.95,311337162.65,111165855.21,76191572.69
1964,110422729.81,340119495.15,113554035.39,65984707.59
1965,109510109.86,372237064.87,117091499.79,54233487.25
1966,106361735.7,415709134.87,120345631.96,48900377.99
1967,102420371.73,455470529.72,122316209.89,39814460.41
1968,96752726.6,499179957.87,125643973.02,32259511.87
1969,91065772.89,551112744.26,129317634.9,24079756.2
1970,86031297.4,606560213.91,131567806.26,15351270.27
1971,80175397.15,668063926.08,134993787.83,4121989.56
1972,76165335.74,738610966.64,136671907.13,1440742.04
1973,71478595.82,809485724.63,139062405.23,1440742.04
1974,68820486.7,893403278.43,142456051.59,1440742.04
