Social Media and Digital Media and Streaming,Subscription Revenue,$
trend,bimodal_valley,exponential_rising
Year,NovaStream,AetherNet
1971,92110388.89,109082338.95
1972,81772444.86,117869577.33
1973,72858354.91,127509947.23
1974,55514341.0,145239521.59
1975,52151606.9,155673792.3
1976,36076474.54,169449093.94
1977,34452681.1,190109938.89
1978,32935542.94,210915265.2
1979,32113565.71,227405459.77
1980,39937140.93,250789974.88
1981,40024794.74,281514673.74
1982,48893534.56,305095265.71
1983,58201870.35,334555838.19
1984,64484899.74,375915619.52
1985,67141328.68,408857745.04
1986,60674366.04,448805354.55
1987,60105682.16,493792507.07
1988,57999011.77,544013781.54
1989,51454570.12,602733580.67
1990,42336581.57,659118827.79
1991,38102291.52,720666590.58
1992,34247418.38,791095235.78
1993,31453101.96,876887001.49
1994,32016943.55,960844969.88
1995,40485344.68,1059523341.93
1996,51457724.3,1168958566.98
1997,62457299.8,1278050734.35
1998,69112603.93,1410314982.49
1999,79981261.49,1550083873.14
2000,84457948.81,1705929684.98
